AIRLINE_CODE,ORIGIN_CODE,Month_of_Travel,Predicted_Delay_Time,Cancellation_Probability
9E,BGM,6,4.524281100478465,0.0
9E,BGM,7,0.7934047619047621,0.0
9E,BGM,8,0.0,0.0
9E,BGM,10,17.262738095238095,0.0
9E,BGM,11,10.31679761904762,0.0
9E,BGM,12,10.741071428571429,0.0
9E,BGR,1,36.89232247366498,0.0
9E,BGR,2,11.957211224068935,0.0
9E,BGR,3,0.0,0.0
9E,BGR,4,13.264687761106876,0.0
9E,BGR,5,0.0,0.0
9E,BGR,6,14.022173660961135,0.0
9E,BGR,7,14.803202682380117,0.045454545454545456
9E,BGR,8,24.589265873015872,0.0
9E,BGR,9,0.0,0.0
9E,BGR,10,3.0603881951381946,0.0
9E,BGR,11,5.945449134199131,0.0
9E,BGR,12,0.0,0.0
9E,BHM,1,11.890198412698414,0.0
9E,BHM,2,0.0,0.0
9E,BHM,3,51.67323243423241,0.0
9E,BHM,4,9.660603993572646,0.0
9E,BHM,5,0.0,0.0
9E,BHM,6,0.0,0.0
9E,BHM,7,0.4591309523809525,0.0
9E,BHM,8,0.0,0.0
9E,BHM,9,0.0,0.0
9E,BHM,10,0.0,0.0
9E,BHM,11,0.0,0.0
9E,BHM,12,0.0,0.0
9E,BIS,1,10.360722222222224,0.0
9E,BIS,2,0.0,0.0
9E,BIS,3,66.09642002442,0.0
9E,BIS,4,0.0,0.0
9E,BIS,5,0.0,0.0
9E,BIS,6,0.0,0.0
9E,BIS,7,2.9017244699744706,0.0
9E,BIS,8,0.0,0.0
9E,BIS,9,2.356984126984127,0.0
9E,BIS,10,0.0,0.0
9E,BIS,11,0.0,0.0
9E,BIS,12,0.0,0.0
9E,BMI,1,10.91737485300218,0.0
9E,BMI,2,0.0,0.0
9E,BMI,3,0.0,0.0
9E,BMI,4,0.0,0.0
9E,BMI,5,14.770712121212119,0.0
9E,BMI,6,0.0,0.0
9E,BMI,7,0.0,0.0
9E,BMI,8,42.07363858363857,0.0
9E,BMI,9,0.0,0.0
9E,BMI,10,0.0,0.0
9E,BMI,11,1.180455017205017,0.0
9E,BMI,12,103.38189971139971,0.0
9E,BNA,1,10.029953613287693,0.0
9E,BNA,2,32.511953264767214,0.0
9E,BNA,3,0.0,0.0
9E,BNA,4,27.920083571657095,0.0
9E,BNA,5,0.45955735930735925,0.0
9E,BNA,6,14.405455010675587,0.0
9E,BNA,7,15.323721955986688,0.0
9E,BNA,8,13.651079432993901,0.0
9E,BNA,9,0.0,0.0
9E,BNA,10,2.4997879163320333,0.0
9E,BNA,11,0.0,0.0
9E,BNA,12,13.168166855739646,0.0
9E,BOS,1,0.0,0.0
9E,BOS,2,1.586098297256556,0.0
9E,BOS,3,5.200654051289441,0.0
9E,BOS,4,2.0660817634875945,0.0
9E,BOS,5,4.173382537254191,0.0
9E,BOS,6,7.03895474626426,0.0
9E,BOS,7,14.075138995379955,0.0
9E,BOS,8,26.342494936161522,0.023809523809523808
9E,BOS,9,7.537863364590377,0.0
9E,BOS,10,11.287705023242587,0.0
9E,BOS,11,12.278860256098344,0.0
9E,BOS,12,6.0431942266463725,0.0
9E,BQK,1,0.0,0.0
9E,BQK,2,0.0,0.0
9E,BQK,3,0.0,0.0
9E,BQK,4,17.236880952380954,0.0
9E,BQK,5,1.9780490620490625,0.0
9E,BQK,6,0.0,0.0
9E,BQK,7,0.0,0.0
9E,BQK,8,0.0,0.0
9E,BQK,9,0.0,0.0
9E,BQK,10,0.0,0.0
9E,BQK,11,0.0,0.0
9E,BQK,12,10.688447691197693,0.0
9E,BTR,1,34.526419580419564,0.0
9E,BTR,2,9.723095155407323,0.0
9E,BTR,3,15.999625739589801,0.0
9E,BTR,4,5.207399265766915,0.0
9E,BTR,5,0.0,0.0
9E,BTR,6,20.440217634231946,0.0
9E,BTR,7,7.97938954427925,0.0
9E,BTR,8,0.0,0.0
9E,BTR,9,0.0,0.0
9E,BTR,10,11.522664807414817,0.0
9E,BTR,11,0.0,0.0
9E,BTR,12,0.0,0.0
9E,BTV,1,10.022614267574978,0.0
9E,BTV,2,8.766853314041827,0.0
9E,BTV,3,0.0,0.0
9E,BTV,4,6.8271578004564155,0.0
9E,BTV,5,0.0,0.0
9E,BTV,6,39.03886745683622,0.0
9E,BTV,7,11.196783766745304,0.0
9E,BTV,8,10.709735131051998,0.0
9E,BTV,9,10.775023757031342,0.0
9E,BTV,10,14.09606081548385,0.0
9E,BTV,11,0.8707086905044639,0.0
9E,BTV,12,7.4608247054616,0.0
9E,BUF,1,0.5400542071963232,0.0
9E,BUF,2,0.9600110616472266,0.0
9E,BUF,3,0.8303564029451102,0.0
9E,BUF,4,3.58986745227779,0.0
9E,BUF,5,2.7745425767412524,0.0
9E,BUF,6,21.982942087437888,0.0
9E,BUF,7,8.353071395663374,0.0
9E,BUF,8,3.5197260417528793,0.047619047619047616
