AIRLINE_CODE,ORIGIN_CODE,EXPECTED_DELAY
UA,FAI,-3.9393939393939394
UA,SCC,
UA,MTJ,10.068965517241379
UA,SJT,
UA,AGS,
UA,MDT,6.514285714285714
UA,ELM,
UA,HDN,9.421052631578947
UA,CWA,
UA,MOT,
UA,IDA,
UA,FAR,
UA,GFK,
UA,JAC,8.736434108527131
UA,LAW,
UA,SUN,
UA,IMT,
UA,LCH,
UA,CLL,
UA,PHF,
UA,TRI,
UA,BET,
UA,PBG,
UA,BQN,17.37704918032787
UA,BRD,
UA,DAB,
UA,DRO,-1.2857142857142858
UA,STS,
UA,ROA,
UA,DDC,
UA,INL,
UA,ORH,
UA,TXK,
UA,BFF,
UA,DHN,
UA,SCK,
UA,LRD,
UA,BTM,
UA,IPT,
UA,PIB,
UA,HYA,
UA,PVU,
UA,LBL,
UA,AZO,
UA,ACK,
UA,YUM,
UA,DRT,
UA,COD,
UA,LNK,3.0
UA,SHD,
UA,CIU,
UA,HLN,
UA,LWB,
UA,MEI,
UA,SAF,
UA,CYS,
UA,ABR,
UA,LCK,
UA,RKS,
UA,GCK,
UA,LWS,
UA,EAR,
UA,GTR,
UA,CSG,
UA,RFD,
UA,BLV,
UA,TYR,
UA,CMX,
UA,PAH,
UA,JST,
UA,TOL,
UA,PSG,
UA,MHK,
UA,YKM,
UA,EAT,
UA,SPI,
UA,BQK,
UA,TWF,
UA,PUB,
UA,DEC,
UA,ACT,
UA,HHH,
UA,PLN,
UA,HIB,
UA,GUC,
UA,ITH,
UA,OME,
UA,MBS,
UA,BFM,
UA,ADQ,
UA,LYH,
UA,RHI,
UA,ALW,
UA,DLG,
UA,ALS,
UA,MMH,
UA,XWA,
UA,SPN,-5.112676056338028
UA,MVY,
UA,ERI,
UA,PGV,
UA,HGR,
UA,ATY,
UA,SMX,
UA,HVN,
UA,CGI,
UA,BKG,
UA,DIK,
UA,AKN,
UA,RIW,
UA,FLO,
UA,GUM,-5.801724137931035
UA,EAU,
UA,TBN,
UA,HTS,
UA,PSM,
UA,EKO,
UA,PUW,
UA,FOD,
UA,CDB,
UA,WYS,
UA,OTH,
UA,VCT,
UA,PPG,
UA,OGS,
UA,ISN,
UA,ART,
UA,ILG,
UA,OWB,
UA,OGD,
UA,STC,
UA,GST,
UA,UIN,
UA,ADK,
DL,FLL,7.136415525114155
DL,MSP,-0.6439494680851063
DL,DEN,3.6649803260258573
DL,MCO,3.7307162534435263
DL,DAL,7.120622568093385
DL,DCA,0.6052215189873418
DL,HSV,-5.103004291845494
DL,IAH,3.3794594594594596
